Rating_ID,Ticker,Timestamp,Analyst_Name,Brokerage_Name,Previous_Rating,New_Rating,Previous_Price_Target,New_Price_Target
1,AAPL,2018-01-10T14:00:00Z,"Gene Munster",Loup Ventures,Buy,Buy,180,190
2,MSFT,2018-01-15T13:30:00Z,"Brent Thill",Jefferies,Buy,Strong Buy,100,110
3,AMZN,2018-02-05T10:00:00Z,"Mark Mahaney",RBC Capital,Outperform,Outperform,1700,1850
4,NVDA,2018-02-20T11:00:00Z,"Vivek Arya",Bank of America,Buy,Buy,250,275
5,GOOGL,2018-03-01T14:30:00Z,"Brian Nowak",Morgan Stanley,Overweight,Overweight,1150,1200
6,TSLA,2018-03-10T09:00:00Z,"Adam Jonas",Morgan Stanley,Equal-weight,Underweight,300,250
7,NFLX,2018-04-17T10:30:00Z,"Michael Nathanson",MoffettNathanson,Neutral,Sell,300,280
8,JPM,2018-05-02T13:00:00Z,"Mike Mayo",Wells Fargo,Outperform,Market Perform,120,115
9,V,2018-05-15T14:15:00Z,"Tien-tsin Huang",J.P. Morgan,Overweight,Overweight,130,140
10,XOM,2018-06-01T09:45:00Z,"Doug Leggate",Bank of America,Neutral,Underperform,85,80
11,AAPL,2019-01-08T14:00:00Z,"Katy Huberty",Morgan Stanley,Overweight,Equal-weight,200,160
12,MSFT,2019-01-20T13:30:00Z,"Heather Bellini",Goldman Sachs,Buy,Conviction Buy,125,140
13,AMZN,2019-02-10T10:00:00Z,"Justin Post",Bank of America,Buy,Buy,2000,2100
14,NVDA,2019-02-25T11:00:00Z,"Stacy Rasgon",Bernstein,Market Perform,Outperform,150,180
15,GOOGL,2019-03-05T14:30:00Z,"Eric Sheridan",UBS,Buy,Buy,1300,1350
16,TSLA,2019-03-15T09:00:00Z,"Ryan Brinkman",J.P. Morgan,Underweight,Underweight,220,200
17,NFLX,2019-04-18T10:30:00Z,"Benjamin Swinburne",Morgan Stanley,Equal-weight,Overweight,350,400
18,JPM,2019-05-05T13:00:00Z,"John McDonald",Autonomous Research,Neutral,Buy,110,125
19,V,2019-05-20T14:15:00Z,"Ramsey El-Assal",Barclays,Overweight,Overweight,150,165
20,XOM,2019-06-05T09:45:00Z,"Neil Mehta",Goldman Sachs,Neutral,Neutral,80,82
21,AAPL,2020-01-10T14:00:00Z,"Wamsi Mohan",Bank of America,Neutral,Buy,220,250
22,MSFT,2020-01-22T13:30:00Z,"Keith Weiss",Morgan Stanley,Overweight,Overweight,160,185
23,AMZN,2020-02-12T10:00:00Z,"Heath Terry",Goldman Sachs,Buy,Conviction Buy,2200,2500
24,NVDA,2020-02-28T11:00:00Z,"C.J. Muse",Evercore ISI,Outperform,Outperform,280,320
25,GOOGL,2020-03-08T14:30:00Z,"Ross Sandler",Barclays,Overweight,Overweight,1400,1500
26,TSLA,2020-03-18T09:00:00Z,"Dan Ives",Wedbush,Neutral,Outperform,400,500
27,NFLX,2020-04-20T10:30:00Z,"Todd Juenger",Sanford C. Bernstein,Market Perform,Market Perform,420,450
28,JPM,2020-05-08T13:00:00Z,"Saul Martinez",UBS,Buy,Neutral,100,90
29,V,2020-05-22T14:15:00Z,"Darrin Peller",Wolfe Research,Outperform,Outperform,180,200
30,XOM,2020-06-08T09:45:00Z,"Paul Sankey",Mizuho,Neutral,Buy,45,55
31,AAPL,2021-01-12T14:00:00Z,"Samik Chatterjee",J.P. Morgan,Overweight,Overweight,150,165
32,MSFT,2021-01-28T13:30:00Z,"Brad Zelnick",Credit Suisse,Outperform,Outperform,250,275
33,AMZN,2021-02-15T10:00:00Z,"Doug Anmuth",J.P. Morgan,Overweight,Overweight,3800,4100
34,NVDA,2021-03-01T11:00:00Z,"Hans Mosesmann",Rosenblatt,Buy,Buy,600,700
35,GOOGL,2021-03-10T14:30:00Z,"Colin Sebastian",Baird,Outperform,Outperform,2200,2500
36,TSLA,2021-03-20T09:00:00Z,"Pierre Ferragu",New Street,Buy,Buy,900,1200
37,NFLX,2021-04-22T10:30:00Z,"Mark Mahaney",Evercore ISI,Outperform,In Line,650,600
38,JPM,2021-05-10T13:00:00Z,"Betsy Graseck",Morgan Stanley,Equal-weight,Overweight,150,170
39,V,2021-05-25T14:15:00Z,"Lisa Ellis",MoffettNathanson,Buy,Buy,250,280
40,XOM,2021-06-10T09:45:00Z,"Phil Gresh",J.P. Morgan,Neutral,Overweight,60,70
