Earning_ID,Ticker,Release_Timestamp,Fiscal_Quarter,EPS_Actual,EPS_Consensus,Revenue_Actual,Revenue_Consensus,Surprise_EPS,Surprise_Revenue_ZScore
1,AAPL,2019-01-29T21:30:00Z,Q1 2019,4.18,4.17,84310000000,83970000000,0.01,0.2
2,MSFT,2019-01-30T21:05:00Z,Q2 2019,1.10,1.09,32470000000,32510000000,0.01,-0.1
3,GOOG,2019-02-04T21:10:00Z,Q4 2018,12.77,10.86,39276000000,38930000000,1.91,0.5
4,AMZN,2019-01-31T21:15:00Z,Q4 2018,6.04,5.65,72383000000,71870000000,0.39,0.8
5,TSLA,2019-01-30T21:20:00Z,Q4 2018,1.93,2.20,7226000000,7070000000,-0.27,0.9
6,NVDA,2019-02-14T21:00:00Z,Q4 2019,0.80,0.79,2205000000,2360000000,0.01,-1.1
7,JPM,2019-01-15T12:00:00Z,Q4 2018,1.98,2.20,26804000000,26830000000,-0.22,-0.1
8,V,2019-01-30T21:00:00Z,Q1 2019,1.30,1.25,5507000000,5410000000,0.05,1.2
9,JNJ,2019-01-22T11:45:00Z,Q4 2018,1.97,1.95,20389000000,20370000000,0.02,0.1
10,XOM,2019-02-01T12:00:00Z,Q4 2018,1.29,1.08,71890000000,69980000000,0.21,0.7
11,AAPL,2020-01-28T21:30:00Z,Q1 2020,4.99,4.55,91819000000,88500000000,0.44,1.5
12,MSFT,2020-01-29T21:05:00Z,Q2 2020,1.51,1.32,36906000000,35670000000,0.19,1.1
13,GOOG,2020-02-03T21:10:00Z,Q4 2019,15.35,12.53,46075000000,45140000000,2.82,0.8
14,AMZN,2020-01-30T21:15:00Z,Q4 2019,6.47,4.03,87437000000,86020000000,2.44,1.2
15,TSLA,2020-01-29T21:20:00Z,Q4 2019,2.14,1.72,7384000000,6930000000,0.42,1.8
16,NVDA,2020-02-13T21:00:00Z,Q4 2020,1.89,1.67,3105000000,2960000000,0.22,1.6
17,JPM,2020-01-14T12:00:00Z,Q4 2019,2.57,2.35,29211000000,28990000000,0.22,0.3
18,V,2020-01-30T21:00:00Z,Q1 2020,1.46,1.46,5854000000,5860000000,0.00,0.0
19,JNJ,2020-01-22T11:45:00Z,Q4 2019,1.88,1.87,20747000000,20820000000,0.01,-0.2
20,XOM,2020-01-31T12:00:00Z,Q4 2019,0.41,0.43,67172000000,69550000000,-0.02,-0.9
21,AAPL,2021-01-27T21:30:00Z,Q1 2021,1.68,1.41,111439000000,103280000000,0.27,2.1
22,MSFT,2021-01-26T21:05:00Z,Q2 2021,2.03,1.64,43076000000,40180000000,0.39,2.5
23,GOOG,2021-02-02T21:10:00Z,Q4 2020,22.30,15.90,56898000000,53130000000,6.40,2.2
24,AMZN,2021-02-02T21:15:00Z,Q4 2020,14.09,7.23,125555000000,119700000000,6.86,1.9
25,TSLA,2021-01-27T21:20:00Z,Q4 2020,0.80,1.03,10744000000,10400000000,-0.23,1.0
26,NVDA,2021-02-24T21:00:00Z,Q4 2021,3.10,2.81,5003000000,4820000000,0.29,1.4
27,JPM,2021-01-15T12:00:00Z,Q4 2020,3.79,2.62,30161000000,28700000000,1.17,1.7
28,V,2021-01-28T21:00:00Z,Q1 2021,1.42,1.28,5687000000,5520000000,0.14,1.3
29,JNJ,2021-01-26T11:45:00Z,Q4 2020,1.86,1.82,22475000000,21990000000,0.04,0.8
30,XOM,2021-02-02T12:00:00Z,Q4 2020,0.03,-0.01,46540000000,46200000000,0.04,0.2
31,AAPL,2022-01-27T21:30:00Z,Q1 2022,2.10,1.89,123945000000,118660000000,0.21,1.8
32,MSFT,2022-01-25T21:05:00Z,Q2 2022,2.48,2.31,51730000000,50880000000,0.17,1.5
33,GOOG,2022-02-01T21:10:00Z,Q4 2021,30.69,27.34,75325000000,72170000000,3.35,1.2
34,AMZN,2022-02-03T21:15:00Z,Q4 2021,27.75,3.71,137410000000,13760000000,24.04,0.1
35,TSLA,2022-01-26T21:20:00Z,Q4 2021,2.54,2.36,17719000000,16570000000,0.18,0.9
36,NVDA,2022-02-16T21:00:00Z,Q4 2022,1.32,1.22,7640000000,7420000000,0.10,0.7
37,JPM,2022-01-14T12:00:00Z,Q4 2021,3.33,3.01,30350000000,29900000000,0.32,0.5
38,V,2022-01-27T21:00:00Z,Q1 2022,1.81,1.70,7060000000,6790000000,0.11,0.6
39,JNJ,2022-01-25T11:45:00Z,Q4 2021,2.13,2.11,24800000000,25290000000,0.02,-0.3
40,XOM,2022-02-01T12:00:00Z,Q4 2021,2.05,1.94,84965000000,82380000000,0.11,0.9
41,AAPL,2023-01-26T21:30:00Z,Q1 2023,1.88,1.94,117150000000,121100000000,-0.06,-1.1
42,MSFT,2023-01-24T21:05:00Z,Q2 2023,2.32,2.29,52700000000,53120000000,0.03,-0.5
43,GOOG,2023-02-02T21:10:00Z,Q4 2022,1.05,1.28,76048000000,78100000000,-0.23,-1.3
44,AMZN,2023-02-02T21:15:00Z,Q4 2022,0.03,0.17,149204000000,145700000000,-0.14,0.8
45,TSLA,2023-01-25T21:20:00Z,Q4 2022,1.19,1.13,24318000000,24160000000,0.06,0.4
46,NVDA,2023-02-22T21:00:00Z,Q4 2023,0.88,0.81,6051000000,6020000000,0.07,0.2
47,JPM,2023-01-13T12:00:00Z,Q4 2022,3.57,3.07,34547000000,34340000000,0.50,0.3
48,V,2023-01-26T21:00:00Z,Q1 2023,2.18,2.01,7935000000,7690000000,0.17,1.4
49,JNJ,2023-01-24T11:45:00Z,Q4 2022,2.35,2.23,23706000000,23900000000,0.12,-0.2
50,XOM,2023-01-31T12:00:00Z,Q4 2022,3.40,3.29,90759000000,97300000000,0.11,-1.5
51,UNH,2023-01-13T11:00:00Z,Q4 2022,5.34,5.17,82787000000,82530000000,0.17,0.2
52,PG,2023-01-19T11:30:00Z,Q2 2023,1.59,1.59,20770000000,20670000000,0.00,0.1
53,HD,2023-02-21T11:00:00Z,Q4 2022,3.30,3.28,35831000000,35970000000,0.02,-0.1
54,MA,2023-01-26T12:00:00Z,Q4 2022,2.65,2.58,5817000000,5790000000,0.07,0.2
55,BAC,2023-01-13T11:45:00Z,Q4 2022,0.85,0.77,24529000000,24340000000,0.08,0.2
56,PFE,2023-01-31T11:50:00Z,Q4 2022,1.14,1.05,24290000000,24380000000,0.09,-0.1
57,KO,2023-02-14T12:00:00Z,Q4 2022,0.45,0.45,10125000000,10020000000,0.00,0.3
58,PEP,2023-02-09T11:30:00Z,Q4 2022,1.67,1.65,27999000000,26840000000,0.02,1.5
