Ticker,Ex_Date,Record_Date,Payment_Date,Amount_Per_Share,Currency
AAPL,2019-02-08,2019-02-11,2019-02-14,0.1825,USD
AAPL,2019-05-10,2019-05-13,2019-05-16,0.1925,USD
AAPL,2019-08-09,2019-08-12,2019-08-15,0.1925,USD
AAPL,2019-11-07,2019-11-11,2019-11-14,0.1925,USD
MSFT,2019-02-20,2019-02-21,2019-03-14,0.46,USD
MSFT,2019-05-15,2019-05-16,2019-06-13,0.46,USD
MSFT,2019-08-14,2019-08-15,2019-09-12,0.51,USD
MSFT,2019-11-20,2019-11-21,2019-12-12,0.51,USD
JPM,2019-01-04,2019-01-07,2019-01-31,0.80,USD
JPM,2019-04-04,2019-04-05,2019-04-30,0.80,USD
JPM,2019-07-03,2019-07-05,2019-07-31,0.90,USD
JPM,2019-10-03,2019-10-04,2019-10-31,0.90,USD
JNJ,2019-02-22,2019-02-25,2019-03-12,0.90,USD
JNJ,2019-05-24,2019-05-28,2019-06-11,0.95,USD
JNJ,2019-08-23,2019-08-26,2019-09-10,0.95,USD
JNJ,2019-11-22,2019-11-25,2019-12-10,0.95,USD
XOM,2019-02-11,2019-02-12,2019-03-11,0.82,USD
XOM,2019-05-10,2019-05-13,2019-06-10,0.87,USD
XOM,2019-08-12,2019-08-13,2019-09-10,0.87,USD
XOM,2019-11-08,2019-11-12,2019-12-10,0.87,USD
PG,2019-01-17,2019-01-18,2019-02-15,0.7172,USD
PG,2019-04-18,2019-04-19,2019-05-15,0.7459,USD
PG,2019-07-18,2019-07-19,2019-08-15,0.7459,USD
PG,2019-10-17,2019-10-18,2019-11-15,0.7459,USD
KO,2019-03-14,2019-03-15,2019-04-01,0.40,USD
KO,2019-06-13,2019-06-14,2019-07-01,0.40,USD
KO,2019-09-12,2019-09-13,2019-10-01,0.40,USD
KO,2019-11-29,2019-12-02,2019-12-16,0.40,USD
AAPL,2020-02-07,2020-02-10,2020-02-13,0.1925,USD
