Event_ID,Release_Timestamp,Indicator_Name,Country,Consensus_Forecast,Actual_Value,Prior_Value,Surprise_Value,Surprise_ZScore
# --- 2018 ---
1,2018-01-05T13:30:00Z,Non-Farm Payrolls,USA,190000,148000,252000,-42000,-0.6
2,2018-01-12T13:30:00Z,Consumer Price Index (CPI) YoY,USA,2.1,2.1,2.2,0.0,0.0
3,2018-01-17T14:15:00Z,Industrial Production MoM,USA,0.4,0.9,0.4,0.5,1.2
4,2018-01-26T13:30:00Z,Gross Domestic Product (GDP) QoQ Annualized Adv,USA,3.0,2.6,3.2,-0.4,-0.7
5,2018-02-01T15:00:00Z,ISM Manufacturing PMI,USA,58.7,59.1,59.3,0.4,0.5
6,2018-02-14T13:30:00Z,Retail Sales MoM,USA,0.2,-0.3,0.0,-0.5,-1.0
7,2018-03-09T13:30:00Z,Non-Farm Payrolls,USA,205000,313000,326000,108000,1.5
8,2018-03-13T12:30:00Z,Consumer Price Index (CPI) YoY,USA,2.2,2.2,2.1,0.0,0.1
9,2018-03-28T12:30:00Z,Gross Domestic Product (GDP) QoQ Annualized Final,USA,2.7,2.9,2.5,0.2,0.4
10,2018-01-25T12:45:00Z,ECB Main Refinancing Rate,EUR,0.00,0.00,0.00,0.0,0.0
11,2018-01-04T08:55:00Z,German Unemployment Change,DEU,-15000,-29000,-18000,-14000,-1.1
12,2018-02-15T02:00:00Z,China Industrial Production YoY,CHN,6.1,7.2,6.2,1.1,1.5
13,2018-03-08T07:00:00Z,UK Official Bank Rate,GBR,0.50,0.50,0.50,0.0,0.0
14,2018-04-06T13:30:00Z,Non-Farm Payrolls,USA,185000,103000,168000,-82000,-1.2
15,2018-04-11T12:30:00Z,Producer Price Index (PPI) Final Demand YoY,USA,2.9,3.0,2.8,0.1,0.2
# ... (Continue populating for 2018, aiming for ~40-50 diverse events for the year)
# --- 2019 ---
50,2019-01-04T13:30:00Z,Non-Farm Payrolls,USA,177000,312000,176000,135000,2.1
51,2019-01-11T13:30:00Z,Consumer Price Index (CPI) YoY,USA,2.2,2.2,2.2,0.0,0.0
52,2019-01-30T13:30:00Z,Gross Domestic Product (GDP) QoQ Annualized Adv,USA,2.6,2.2,3.4,-0.4,-0.8
53,2019-03-12T12:30:00Z,Retail Sales MoM,USA,0.1,0.2,-1.6,0.1,0.3
54,2019-06-03T14:00:00Z,ISM Manufacturing PMI,USA,53.0,52.1,52.8,-0.9,-1.2
55,2019-01-24T12:45:00Z,ECB Main Refinancing Rate,EUR,0.00,0.00,0.00,0.0,0.0
56,2019-02-05T09:30:00Z,Caixin Services PMI,CHN,53.6,53.6,53.9,0.0,0.0
57,2019-03-07T12:00:00Z,Bank of England Bank Rate,GBR,0.75,0.75,0.75,0.0,0.0
58,2019-04-10T12:30:00Z,FOMC Meeting Minutes,USA,,,,,,
59,2019-05-15T12:30:00Z,Building Permits,USA,1290000,1296000,1288000,6000,0.2
# ... (Continue populating for 2019)
# --- 2020 ---
100,2020-01-10T13:30:00Z,Non-Farm Payrolls,USA,160000,145000,256000,-15000,-0.2
101,2020-02-25T15:00:00Z,Consumer Confidence,USA,132.0,130.7,130.4,-1.3,-0.5
102,2020-03-15T21:00:00Z,FOMC Rate Decision (Unscheduled),USA,0.25,0.25,1.25,0.0,0.0 # Emergency Cut
103,2020-04-16T12:30:00Z,Initial Jobless Claims,USA,5100000,5245000,6615000,145000,0.2 # Peak COVID claims
