Ticker,CUSIP,ISIN,Country_Of_Incorporation,Currency
MSFT,594918104,US5949181045,USA,USD
AAPL,037833100,US0378331005,USA,USD
NVDA,67066G104,US67066G1040,USA,USD
GOOG,02079K107,US02079K1079,USA,USD
GOOGL,02079K305,US02079K3059,USA,USD
AMZN,023135106,US0231351067,USA,USD
META,30303M102,US30303M1027,USA,USD
BRK-B,084670702,US0846707026,USA,USD
LLY,532457108,US5324571083,USA,USD
AVGO,11135F101,US11135F1012,USA,USD
JPM,46625H100,US46625H1005,USA,USD
TSLA,88160R101,US88160R1014,USA,USD
V,92826C839,US92826C8394,USA,USD
XOM,30231G102,US30231G1022,USA,USD
UNH,91324P102,US91324P1021,USA,USD
MA,57636Q104,US57636Q1040,USA,USD
JNJ,478160104,US4781601046,USA,USD
PG,742718109,US7427181091,USA,USD
COST,22160K105,US22160K1051,USA,USD
HD,437076102,US4370761029,USA,USD
MRK,58933Y105,US58933Y1055,USA,USD
ABBV,00287Y109,US00287Y1091,USA,USD
CVX,166764100,US1667641005,USA,USD
CRM,79466L302,US79466L3024,USA,USD
ADBE,00724F101,US00724F1012,USA,USD
BAC,060505104,US0605051046,USA,USD
AMD,007903107,US0079031078,USA,USD
NFLX,64110L106,US64110L1061,USA,USD
PEP,713448108,US7134481081,USA,USD
KO,191216100,US1912161007,USA,USD
LIN,G5494J103,IE00BZ12WP82,IRL,USD
MCD,580135101,US5801351017,USA,USD
WMT,931142103,US9311421039,USA,USD
ACN,G1151C101,IE00B4BNMY34,IRL,USD
CSCO,17275R102,US17275R1023,USA,USD
TMO,883556102,US8835561023,USA,USD
DIS,254687106,US2546871060,USA,USD
INTC,458140100,US4581401001,USA,USD
VZ,92343V104,US92343V1044,USA,USD
ABT,002824100,US0028241000,USA,USD
WFC,949746101,US9497461015,USA,USD
QCOM,747525103,US7475251036,USA,USD
NEE,65339F101,US65339F1012,USA,USD
PFE,717081103,US7170811035,USA,USD
CAT,149123101,US1491231011,USA,USD
DHR,235851102,US2358511028,USA,USD
AMGN,031162100,US0311621009,USA,USD
UPS,911312106,US9113121068,USA,USD
IBM,459200101,US4592001014,USA,USD
TXN,882508104,US8825081040,USA,USD
PM,718172109,US7181721090,USA,USD
HON,438516106,US4385161066,USA,USD
GE,369604301,US3696043013,USA,USD
NKE,654106103,US6541061031,USA,USD
SPGI,78409V104,US78409V1044,USA,USD
COP,20825C104,US20825C1045,USA,USD
UNP,907818108,US9078181081,USA,USD
MDT,G5960L103,IE00BTN1Y115,IRL,USD
BMY,110122108,US1101221083,USA,USD
RTX,75513E101,US75513E1010,USA,USD
LOW,548661107,US5486611073,USA,USD
ORCL,68389X105,US68389X1054,USA,USD
GS,38141G104,US38141G1040,USA,USD
BLK,09247X101,US09247X1019,USA,USD
AMAT,038222105,US0382221051,USA,USD
SCHW,808513105,US8085131055,USA,USD
AXP,025816109,US0258161092,USA,USD
INTU,461202103,US4612021034,USA,USD
SBUX,855244109,US8552441094,USA,USD
BA,097023105,US0970231058,USA,USD
DE,244199105,US2441991054,USA,USD
ISRG,46120E602,US46120E6023,USA,USD
PLD,74340W103,US74340W1036,USA,USD
LMT,539830109,US5398301094,USA,USD
TJX,872540109,US8725401090,USA,USD
ADP,053015103,US0530151036,USA,USD
CI,125523100,US1255231003,USA,USD
MMC,571748102,US5717481023,USA,USD
REGN,75886F107,US75886F1075,USA,USD
SYK,863667101,US8636671011,USA,USD
ADI,032654105,US0326541051,USA,USD
MDLZ,609207105,US6092071058,USA,USD
CB,H1467J104,CH0044328745,CHE,USD
GILD,375558103,US3755581036,USA,USD
TMUS,872590104,US8725901040,USA,USD
PGR,743315103,US7433151039,USA,USD
SO,842587107,US8425871071,USA,USD
AMT,03027X100,US03027X1000,USA,USD
BSX,101137107,US1011371077,USA,USD
ETN,G29183103,IE00B8KQN827,IRL,USD
LRCX,512807108,US5128071082,USA,USD
CVS,126650100,US1266501006,USA,USD
C,172967424,US1729674242,USA,USD
MO,02209S103,US02209S1033,USA,USD
ZTS,98978V103,US98978V1035,USA,USD
DUK,26441C204,US26441C2044,USA,USD
FISV,337738108,US3377381088,USA,USD
BDX,075887109,US0758871091,USA,USD
SLB,AN806857108,AN8068571086,NLD,USD
ICE,45866F104,US45866F1049,USA,USD
AON,G0403H108,IE00BLP1HW54,IRL,USD
EOG,26875P101,US26875P1012,USA,USD
WM,94106L109,US94106L1098,USA,USD
CSX,126408103,US1264081035,USA,USD
TGT,87612E106,US87612E1064,USA,USD
CL,194162103,US1941621039,USA,USD
SHW,824348106,US8243481061,USA,USD
SPY,78462F103,US78462F1030,USA,USD
QQQ,46090E103,US46090E1031,USA,USD
IWM,464287655,US4642876555,USA,USD
GLD,78463V107,US78463V1070,USA,USD
SLV,46428Q109,US46428Q1094,USA,USD
USO,91232N108,US91232N1081,USA,USD
VIXY,74347Y866,US74347Y8668,USA,USD
ANTM,29084Q100,US29084Q1004,USA,USD
AGN,G0087X108,IE00BY9D5467,IRL,USD
APA,037411105,US0374111054,USA,USD
APC,032511107,US0325111070,USA,USD
BIIB,09062X103,US09062X1037,USA,USD
BK,064058100,US0640581007,USA,USD
BKNG,09857L108,US09857L1089,USA,USD
CELG,151020104,US1510201042,USA,USD
CNC,15135B101,US15135B1017,USA,USD
CTL,156700106,US1567001060,USA,USD
CTXS,20057N104,US20057N1046,USA,USD
DAL,247361702,US2473617023,USA,USD
DOW,260557103,US2605571035,USA,USD
DXC,23355L106,US23355L1061,USA,USD
EMR,291011104,US2910111044,USA,USD
EXC,30161N101,US30161N1019,USA,USD
FCX,35671D857,US35671D8570,USA,USD
FDX,31428X106,US31428X1063,USA,USD
FIS,315725100,US3157251008,USA,USD
FOX,35137L209,US35137L2090,USA,USD
FOXA,35137L100,US35137L1000,USA,USD
GD,369550108,US3695501086,USA,USD
GPN,37940X102,US37940X1028,USA,USD
HAL,406216101,US4062161017,USA,USD
HCA,40412C101,US40412C1018,USA,USD
HES,42809H107,US42809H1077,USA,USD
HPQ,40434L105,US40434L1052,USA,USD
HUM,444859102,US4448591025,USA,USD
INFO,G47567105,BMG475671050,BMU,USD
KHC,500754106,US5007541060,USA,USD
KMI,49456B101,US49456B1017,USA,USD
KMX,143130102,US1431301027,USA,USD
LUV,844741108,US8447411088,USA,USD
LYB,N53745100,NL0009434992,NLD,USD
MAR,571903202,US5719032022,USA,USD
MET,59156R108,US59156R1086,USA,USD
MPC,56585A102,US56585A1025,USA,USD
MS,617446448,US6174464486,USA,USD
MU,595112103,US5951121038,USA,USD
MYL,N59465101,NL0011031208,NLD,USD
NEM,651639106,US6516391066,USA,USD
NOC,666807102,US6668071029,USA,USD
NOV,62955J103,US62955J1034,USA,USD
OXY,674599105,US6745991058,USA,USD
PAYX,704326107,US7043261079,USA,USD
PSA,74460D109,US74460D1090,USA,USD
PSX,718546104,US7185461040,USA,USD
PXD,723787107,US7237871071,USA,USD
ROST,778296103,US7782961038,USA,USD
STZ,21036P108,US21036P1084,USA,USD
SYF,87165B103,US87165B1035,USA,USD
TFC,896945201,US8969452015,USA,USD
TRV,89417E109,US89417E1091,USA,USD
TWTR,90184L102,US90184L1026,USA,USD
UAL,910047109,US9100471096,USA,USD
USB,902973304,US9029733048,USA,USD
VLO,91913Y100,US91913Y1001,USA,USD
VMC,929160109,US9291601092,USA,USD
VRSK,92345Y106,US92345Y1064,USA,USD
VRTX,92532F100,US92532F1003,USA,USD
WBA,931427108,US9314271084,USA,USD
WELL,95040Q104,US95040Q1040,USA,USD
XEL,98389B100,US98389B1008,USA,USD
YUM,988498101,US9884981011,USA,USD
AAL,02376R102,US02376R1023,USA,USD
AIG,026874784,US0268747849,USA,USD
ALL,020002101,US0200021014,USA,USD
AMP,031652100,US0316521006,USA,USD
AVY,053611109,US0536111093,USA,USD
AWK,030420103,US0304201033,USA,USD
AZO,053332102,US0533321024,USA,USD
BAX,071813109,US0718131099,USA,USD
BBT,054937107,US0549371070,USA,USD
BBY,086516101,US0865161014,USA,USD
BEN,354710807,US3547108078,USA,USD
BF-B,115637209,US1156372096,USA,USD
CAG,205887102,US2058871029,USA,USD
CAH,14149Y108,US14149Y1082,USA,USD
CCL,G17806114,PA1436583006,PAN,USD
CDNS,127387108,US1273871087,USA,USD
CF,125269100,US1252691001,USA,USD
CHD,171309102,US1713091025,USA,USD
CMCSA,20030N101,US20030N1019,USA,USD
CME,12572Q105,US12572Q1058,USA,USD
CMG,169656105,US1696561059,USA,USD
CMI,231021106,US2310211063,USA,USD
CMS,125896100,US1258961002,USA,USD
DG,256677105,US2566771059,USA,USD
DGX,74834L100,US74834L1008,USA,USD
DHI,23331A109,US23331A1097,USA,USD
DLR,253868103,US2538681030,USA,USD
DLTR,256746108,US2567461080,USA,USD
DOV,260003108,US2600031082,USA,USD
DRI,237194106,US2371941060,USA,USD
DTE,233331107,US2333311072,USA,USD
EA,285512109,US2855121099,USA,USD
EBAY,278642103,US2786421030,USA,USD
ECL,278865100,US2788651006,USA,USD
ED,209115104,US2091151041,USA,USD
EFX,294429105,US2944291051,USA,USD
EIX,281020107,US2810201077,USA,USD
EL,297178105,US2971781057,USA,USD
EQIX,29444U700,US29444U7000,USA,USD
EQR,29476L107,US29476L1070,USA,USD
ES,30040W108,US30040W1080,USA,USD
ESS,297178105,US2971781057,USA,USD
EW,282106108,US2821061086,USA,USD
EXPD,302130109,US3021301091,USA,USD
EXPE,30212P303,US30212P3038,USA,USD
EXR,30225T102,US30225T1025,USA,USD
F,345370860,US3453708600,USA,USD
FAST,311900104,US3119001044,USA,USD
FBHS,34964C106,US34964C1062,USA,USD
FITB,316773100,US3167731005,USA,USD
FLT,339041105,US3390411052,USA,USD
FRT,315347100,US3153471000,USA,USD
FTNT,34959E109,US34959E1091,USA,USD
