Timestamp,Ticker,Social_Media_Volume,Social_Media_Velocity,Sentiment_Divergence
2019-01-03T10:00:00Z,AAPL,250,N/A,0.65
2019-01-03T11:00:00Z,AAPL,310,0.24,0.70
2019-01-03T12:00:00Z,AAPL,280,-0.10,0.68
2019-01-15T09:00:00Z,JPM,180,N/A,0.55
2019-01-15T10:00:00Z,JPM,220,0.22,0.60
2019-01-15T11:00:00Z,JPM,200,-0.09,0.58
2020-04-30T10:00:00Z,MSFT,350,N/A,0.45
2020-04-30T11:00:00Z,MSFT,400,0.14,0.48
2020-04-30T12:00:00Z,MSFT,380,-0.05,0.47
2020-11-09T12:00:00Z,PFE,800,N/A,0.80
2020-11-09T13:00:00Z,PFE,1200,0.50,0.85
2020-11-09T14:00:00Z,PFE,1500,0.25,0.75
2021-02-25T10:00:00Z,NVDA,400,N/A,0.60
2021-02-25T11:00:00Z,NVDA,550,0.38,0.65
2021-05-13T21:00:00Z,DIS,300,N/A,0.72
2021-05-13T22:00:00Z,DIS,250,-0.17,0.75
2022-01-18T13:00:00Z,MSFT,600,N/A,0.50
2022-01-18T14:00:00Z,MSFT,900,0.50,0.55
2022-01-18T15:00:00Z,ATVI,700,N/A,0.60 # Activision ticker related to MSFT news
2022-04-20T22:00:00Z,TSLA,900,N/A,0.78
2022-04-20T23:00:00Z,TSLA,1100,0.22,0.80
2022-09-15T13:00:00Z,ADBE,350,N/A,0.40
2022-09-15T14:00:00Z,ADBE,500,0.43,0.45
2022-09-15T14:00:00Z,FIGMA,400,N/A,0.50 # Figma ticker related to ADBE news
2023-03-10T14:00:00Z,SIVB,2000,N/A,0.95 # SVB Financial, high activity example
2023-03-10T15:00:00Z,SIVB,3500,0.75,0.98
2023-05-01T10:00:00Z,JPM,400,N/A,0.30
2023-05-01T11:00:00Z,JPM,650,0.63,0.35
2023-05-01T11:00:00Z,FRC,1500,N/A,0.90 # First Republic Bank related to JPM news
2023-05-24T21:00:00Z,NVDA,1200,N/A,0.85
2023-05-24T22:00:00Z,NVDA,1800,0.50,0.88
2023-08-08T11:00:00Z,LLY,700,N/A,0.70
2023-08-08T12:00:00Z,LLY,950,0.36,0.75
2023-09-12T17:00:00Z,AAPL,500,N/A,0.50
2023-09-12T18:00:00Z,AAPL,700,0.40,0.52
2023-12-07T21:00:00Z,AVGO,300,N/A,0.40
2023-12-07T22:00:00Z,AVGO,450,0.50,0.42
2023-12-07T22:00:00Z,VMW,250,N/A,0.35 # VMware related to AVGO news
2024-01-29T18:00:00Z,TSLA,600,N/A,0.60
2024-01-29T19:00:00Z,TSLA,550,-0.08,0.62
2024-02-20T13:00:00Z,WMT,200,N/A,0.30
2024-02-20T14:00:00Z,WMT,350,0.75,0.33
2024-02-20T14:00:00Z,Vizio,150,N/A,0.25 # Vizio ticker related to WMT news
2024-02-21T21:00:00Z,NVDA,2500,N/A,0.90
2024-02-21T22:00:00Z,NVDA,4000,0.60,0.92
2024-02-21T23:00:00Z,NVDA,3500,-0.13,0.89
2023-10-23T10:00:00Z,CVX,280,N/A,0.38
2023-10-23T11:00:00Z,CVX,420,0.50,0.41
2023-10-23T11:00:00Z,HES,200,N/A,0.30 # Hess Corp related to CVX news
2022-01-03T15:00:00Z,GOOG,150,N/A,0.55 # Older data for more tickers
2022-01-03T16:00:00Z,GOOG,180,0.20,0.58
2022-01-03T15:00:00Z,AMZN,220,N/A,0.60
2022-01-03T16:00:00Z,AMZN,250,0.14,0.62
2022-01-04T10:00:00Z,COST,100,N/A,0.40
2022-01-04T11:00:00Z,COST,120,0.20,0.42
2022-01-05T14:00:00Z,CRM,130,N/A,0.48
2022-01-05T15:00:00Z,CRM,160,0.23,0.50
2022-01-06T09:00:00Z,MCD,90,N/A,0.35
2022-01-06T10:00:00Z,MCD,110,0.22,0.37
2022-01-07T13:00:00Z,NEE,80,N/A,0.30
2022-01-07T14:00:00Z,NEE,100,0.25,0.32
2022-01-10T10:00:00Z,LIN,70,N/A,0.28
2022-01-10T11:00:00Z,LIN,90,0.29,0.30
2022-01-11T14:00:00Z,KO,140,N/A,0.44
2022-01-11T15:00:00Z,KO,170,0.21,0.46
2022-01-12T09:00:00Z,PEP,120,N/A,0.41
2022-01-12T10:00:00Z,PEP,150,0.25,0.43
2022-01-13T11:00:00Z,MRK,110,N/A,0.39
2022-01-13T12:00:00Z,MRK,130,0.18,0.41
2022-01-14T12:00:00Z,BAC,200,N/A,0.52
2022-01-14T13:00:00Z,BAC,240,0.20,0.54
